,number,value,datetime_start,datetime_complete,duration,params_augmentation_strength,params_label_smoothing,params_lr_backbone,params_lr_heads_bin,params_lr_heads_multi,params_weight_decay,state
10,10,6.035548877716065,2025-11-25 05:47:01.508384,2025-11-25 05:48:31.843286,0 days 00:01:30.334902,4,0.007745039992236635,5.463331403485193e-06,0.0068455702672729195,0.001057769897835377,5.088861620059547e-05,PRUNED
11,11,6.065097427368164,2025-11-25 05:49:12.271868,2025-11-25 05:50:40.443562,0 days 00:01:28.171694,3,0.0018454746256825853,4.59108123710967e-05,6.114825606221511e-05,0.0008201915027201731,0.0001610128003061733,PRUNED
12,12,6.043451023101807,2025-11-25 05:51:20.857488,2025-11-25 05:52:48.132991,0 days 00:01:27.275503,3,0.03760066560688634,7.011300843832054e-06,9.317718328447869e-05,0.001290878803130407,2.5359202321989e-05,PRUNED
13,13,6.160901737213135,2025-11-25 05:53:28.519100,2025-11-25 05:54:55.476270,0 days 00:01:26.957170,4,0.035795236761507115,3.796719279774948e-05,0.001882500662848259,0.0002657465824776555,0.003292729760827967,PRUNED
14,14,6.072451114654541,2025-11-25 05:55:35.889654,2025-11-25 05:57:02.516616,0 days 00:01:26.626962,4,0.033474402493595436,9.174385522435323e-06,4.125864031253815e-05,0.009232588245621905,0.0001631785454224566,PRUNED
15,15,6.064500427246093,2025-11-25 05:57:42.943041,2025-11-25 05:59:08.132302,0 days 00:01:25.189261,2,0.13710092162578685,3.4207612366318577e-06,0.00020624835931819076,0.001991774407045066,2.100480586383109e-05,PRUNED
16,16,6.145102500915527,2025-11-25 05:59:48.526250,2025-11-25 06:01:13.663335,0 days 00:01:25.137085,3,0.057877076460779976,6.717461281201282e-05,0.0015470504932079158,0.00039856370521643077,1.2421068085149978e-06,PRUNED
17,17,5.948090863227844,2025-11-25 06:01:54.055031,2025-11-25 06:09:32.937685,0 days 00:07:38.882654,3,0.01839244630078153,2.80624491955829e-05,3.5172303818223246e-05,0.0029135665100530725,0.0003014755128475073,COMPLETE
18,18,5.945282435417175,2025-11-25 06:09:33.210868,2025-11-25 06:17:17.328765,0 days 00:07:44.117897,4,0.014639753556766635,1.2982715586467493e-05,2.4180928497259136e-05,0.002433392872737921,0.0018655654346846607,COMPLETE
19,19,6.175082492828369,2025-11-25 06:17:17.622607,2025-11-25 06:18:43.470826,0 days 00:01:25.848219,4,0.08987986416503642,1.0601657929192713e-05,3.070456748264837e-05,0.00017825601965382214,0.0015709224758814592,PRUNED
20,20,6.122720432281494,2025-11-25 06:19:23.894410,2025-11-25 06:20:49.615616,0 days 00:01:25.721206,5,0.1287642756814067,1.524699876053482e-05,2.567562545300452e-05,0.00047736181851680396,0.008380066006778592,PRUNED
21,21,5.931401109695434,2025-11-25 06:21:30.030634,2025-11-25 06:29:11.470051,0 days 00:07:41.439417,3,0.013673005423895112,4.518363588745509e-06,1.9026055732071187e-05,0.0027202891614193227,0.0004046966618157698,COMPLETE
22,22,6.09940538406372,2025-11-25 06:29:11.785363,2025-11-25 06:31:16.801412,0 days 00:02:05.016049,4,0.019634062929802992,5.675340745421169e-06,1.096669957864887e-05,0.002523820216127437,0.0005040340500530231,PRUNED
23,23,6.068645858764649,2025-11-25 06:31:57.213985,2025-11-25 06:33:34.693050,0 days 00:01:37.479065,3,0.04907249154530474,1.050922060261714e-05,2.021080360702052e-05,0.0034170700868227486,0.002246049932446234,PRUNED
24,24,6.077862548828125,2025-11-25 06:34:15.123294,2025-11-25 06:35:51.183678,0 days 00:01:36.060384,4,0.021033030054976816,2.251884815639814e-05,4.5164594450094356e-05,0.0006547648052125342,0.000871005730293048,PRUNED
25,25,6.044125747680664,2025-11-25 06:36:31.631500,2025-11-25 06:38:04.140248,0 days 00:01:32.508748,3,0.07953012630611171,5.3944061709962495e-05,2.194345536453737e-05,0.0016133103388729611,0.0002780767742720104,PRUNED
26,26,6.19445390701294,2025-11-25 06:38:44.569987,2025-11-25 06:40:15.624299,0 days 00:01:31.054312,2,0.04971735467658833,4.397593248336989e-06,4.7983054746683645e-05,0.00012231555739164785,0.004338000194843158,PRUNED
27,27,5.951110148429871,2025-11-25 06:40:56.052165,2025-11-25 06:48:41.950071,0 days 00:07:45.897906,4,0.018456009903226087,8.01704843073798e-06,0.00010338110623094012,0.0033463234291096246,0.0019502677946601143,COMPLETE
